ISSUE_DATE;FLIGHT_DATE_LOC;PAX_TYPE;REVENUE_AMOUNT;ORIG_CITY_CODE;DEST_CITY_CODE;ROUTE_FLIGHT_TYPE;FFP_FLAG;SALE_TYPE
07.12.2021 0:00;11.01.2022 0:00;AD;200;MOW;KGD;ВВЛ;;ONLINE
31.12.2021 0:00;03.01.2022 0:00;AD;610;UUS;OVB;ВВЛ;;OFFLINE
28.11.2021 0:00;04.01.2022 0:00;AD;390;KGD;MOW;ВВЛ;FFP;ONLINE
08.12.2021 0:00;05.01.2022 0:00;AD;190;VOZ;MOW;ВВЛ;;ONLINE
08.12.2021 0:00;12.01.2022 0:00;AD;190;MOW;KRR;ВВЛ;FFP;OFFLINE
29.11.2021 0:00;14.01.2022 0:00;AD;250;MOW;DUS;МВЛ;;ONLINE
03.12.2021 0:00;06.01.2022 0:00;AD;200;MOW;PEE;ВВЛ;FFP;ONLINE
28.11.2021 0:00;07.01.2022 0:00;CHD;70;MOW;AER;ВВЛ;FFP;ONLINE
02.12.2021 0:00;10.01.2022 0:00;CHD;490;MOW;NJC;ВВЛ;FFP;ONLINE
25.11.2021 0:00;03.01.2022 0:00;AD;280;MOW;KUF;ВВЛ;;ONLINE
06.12.2021 0:00;24.01.2022 0:00;AD;360;MOW;UUD;ВВЛ;;ONLINE
28.11.2021 0:00;12.01.2022 0:00;AD;380;OVB;AER;ВВЛ;FFP;ONLINE
08.12.2021 0:00;03.01.2022 0:00;AD;210;KZN;MOW;ВВЛ;;ONLINE
05.12.2021 0:00;16.01.2022 0:00;INF;0;PEZ;MOW;ВВЛ;;OFFLINE
03.12.2021 0:00;14.01.2022 0:00;AD;370;UUD;MOW;ВВЛ;FFP;ONLINE
07.01.2022 0:00;15.01.2022 0:00;AD;1090;GDZ;MOW;ВВЛ;;OFFLINE
03.12.2021 0:00;20.01.2022 0:00;AD;470;TAS;MOW;МВЛ;;OFFLINE
08.12.2021 0:00;15.01.2022 0:00;AD;450;SVX;OVB;ВВЛ;;OFFLINE
25.11.2021 0:00;02.01.2022 0:00;AD;300;OMS;MOW;ВВЛ;FFP;ONLINE
02.12.2021 0:00;07.01.2022 0:00;CHD;180;LED;HEL;МВЛ;;ONLINE
15.12.2021 0:00;04.01.2022 0:00;AD;570;OVB;LED;ВВЛ;;OFFLINE
22.11.2021 0:00;03.01.2022 0:00;AD;430;MOW;ABA;ВВЛ;;ONLINE
13.01.2022 0:00;17.01.2022 0:00;AD;570;OVB;EVN;МВЛ;;OFFLINE
09.12.2021 0:00;02.01.2022 0:00;AD;450;MOW;GDZ;ВВЛ;FFP;ONLINE
29.11.2021 0:00;05.01.2022 0:00;AD;350;OVB;MOW;ВВЛ;FFP;ONLINE
25.11.2021 0:00;02.01.2022 0:00;AD;130;OGZ;MOW;ВВЛ;FFP;ONLINE
08.12.2021 0:00;02.01.2022 0:00;CHD;230;MOW;KZN;ВВЛ;;ONLINE
29.11.2021 0:00;05.01.2022 0:00;AD;350;MOW;OVB;ВВЛ;;ONLINE
22.11.2021 0:00;16.01.2022 0:00;AD;290;AER;MOW;ВВЛ;;ONLINE
26.11.2021 0:00;04.01.2022 0:00;AD;160;MOW;KUF;ВВЛ;FFP;ONLINE
22.11.2021 0:00;15.01.2022 0:00;AD;130;MOW;AER;ВВЛ;FFP;ONLINE
22.11.2021 0:00;02.01.2022 0:00;AD;420;MOW;MRV;ВВЛ;FFP;ONLINE
08.12.2021 0:00;11.01.2022 0:00;INF;0;UFA;MOW;ВВЛ;;ONLINE
01.12.2021 0:00;30.01.2022 0:00;AD;200;EGO;MOW;ВВЛ;;OFFLINE
09.12.2021 0:00;06.01.2022 0:00;AD;280;KRR;MOW;ВВЛ;;OFFLINE
09.12.2021 0:00;04.01.2022 0:00;AD;350;MOW;SIP;ВВЛ;;OFFLINE
29.11.2021 0:00;06.01.2022 0:00;AD;350;OMS;MOW;ВВЛ;;ONLINE
26.11.2021 0:00;03.01.2022 0:00;AD;690;MOW;SKG;МВЛ;;ONLINE
10.01.2022 0:00;20.01.2022 0:00;AD;470;KEJ;FEG;МВЛ;;OFFLINE
04.12.2021 0:00;08.01.2022 0:00;AD;340;SVX;MOW;ВВЛ;;OFFLINE
26.11.2021 0:00;05.01.2022 0:00;AD;360;MOW;OVB;ВВЛ;FFP;ONLINE
03.12.2021 0:00;04.01.2022 0:00;AD;340;KUF;MOW;ВВЛ;FFP;ONLINE
09.12.2021 0:00;10.01.2022 0:00;AD;310;MOW;MQF;ВВЛ;;OFFLINE
10.12.2021 0:00;04.01.2022 0:00;AD;520;UUD;MOW;ВВЛ;FFP;ONLINE
26.11.2021 0:00;19.01.2022 0:00;AD;440;LBD;VOG;МВЛ;;OFFLINE
08.12.2021 0:00;16.01.2022 0:00;AD;490;NUX;MOW;ВВЛ;;OFFLINE
09.12.2021 0:00;25.01.2022 0:00;AD;400;IKT;HKT;МВЛ;FFP;ONLINE
30.11.2021 0:00;22.01.2022 0:00;AD;360;BOJ;MOW;МВЛ;;OFFLINE
28.12.2021 0:00;09.01.2022 0:00;AD;340;VOZ;MOW;ВВЛ;FFP;OFFLINE
10.12.2021 0:00;14.01.2022 0:00;CHD;930;DXB;OVB;МВЛ;;OFFLINE
09.12.2021 0:00;30.01.2022 0:00;AD;360;AER;MOW;ВВЛ;;OFFLINE
03.12.2021 0:00;10.01.2022 0:00;AD;370;KJA;MOW;ВВЛ;FFP;ONLINE
09.12.2021 0:00;11.01.2022 0:00;AD;300;MOW;CEK;ВВЛ;FFP;ONLINE
05.12.2021 0:00;07.01.2022 0:00;CHD;240;AER;MOW;ВВЛ;;ONLINE
29.11.2021 0:00;10.01.2022 0:00;AD;250;AAQ;MOW;ВВЛ;;OFFLINE
29.11.2021 0:00;14.01.2022 0:00;AD;230;MOW;RTW;ВВЛ;;ONLINE
29.11.2021 0:00;08.01.2022 0:00;CHD;170;KJA;OVB;ВВЛ;;ONLINE
30.11.2021 0:00;18.01.2022 0:00;AD;280;TOF;MOW;ВВЛ;FFP;ONLINE
21.12.2021 0:00;12.01.2022 0:00;AD;450;OVB;IKT;ВВЛ;FFP;OFFLINE
23.12.2021 0:00;09.01.2022 0:00;AD;470;KGD;MOW;ВВЛ;FFP;OFFLINE
09.12.2021 0:00;08.01.2022 0:00;AD;230;MOW;ULY;ВВЛ;;OFFLINE
10.12.2021 0:00;16.01.2022 0:00;AD;360;UUD;MOW;ВВЛ;FFP;OFFLINE
09.12.2021 0:00;15.01.2022 0:00;AD;440;LPK;MOW;ВВЛ;;ONLINE
04.12.2021 0:00;07.01.2022 0:00;CHD;180;MOW;KGD;ВВЛ;;ONLINE
30.11.2021 0:00;07.01.2022 0:00;AD;390;OVB;NUX;ВВЛ;FFP;ONLINE
27.11.2021 0:00;01.01.2022 0:00;AD;310;MOW;TOF;ВВЛ;FFP;ONLINE
10.12.2021 0:00;15.01.2022 0:00;AD;360;IKT;OVB;ВВЛ;FFP;ONLINE
30.11.2021 0:00;06.01.2022 0:00;AD;270;MOW;LED;ВВЛ;FFP;ONLINE
27.12.2021 0:00;03.01.2022 0:00;AD;610;IKT;AER;ВВЛ;FFP;OFFLINE
27.11.2021 0:00;02.01.2022 0:00;AD;300;SGC;OVB;ВВЛ;;ONLINE
05.12.2021 0:00;13.01.2022 0:00;AD;150;MOW;LED;ВВЛ;;ONLINE
30.11.2021 0:00;05.01.2022 0:00;AD;290;IKT;OVB;ВВЛ;;ONLINE
23.11.2021 0:00;01.01.2022 0:00;AD;440;MOW;EVN;МВЛ;;ONLINE
10.12.2021 0:00;03.01.2022 0:00;AD;370;KJA;MOW;ВВЛ;;ONLINE
09.12.2021 0:00;09.01.2022 0:00;AD;570;OVB;DXB;МВЛ;FFP;ONLINE
14.01.2022 0:00;18.01.2022 0:00;AD;560;OVB;YKS;ВВЛ;;OFFLINE
23.11.2021 0:00;18.01.2022 0:00;AD;260;KGD;MOW;ВВЛ;;ONLINE
05.12.2021 0:00;01.01.2022 0:00;AD;220;MOW;KUF;ВВЛ;FFP;ONLINE
30.11.2021 0:00;03.01.2022 0:00;AD;310;MOW;MQF;ВВЛ;;ONLINE
01.12.2021 0:00;24.01.2022 0:00;AD;400;AYT;MOW;МВЛ;FFP;OFFLINE
12.12.2021 0:00;04.01.2022 0:00;CHD;680;HRG;MOW;МВЛ;;OFFLINE
07.01.2022 0:00;08.01.2022 0:00;AD;1820;OVB;KHV;ВВЛ;;OFFLINE
09.12.2021 0:00;08.01.2022 0:00;CHD;270;MOW;KUF;ВВЛ;;ONLINE
05.12.2021 0:00;04.01.2022 0:00;AD;410;OMS;MOW;ВВЛ;FFP;ONLINE
05.12.2021 0:00;01.01.2022 0:00;AD;390;MOW;AER;ВВЛ;;ONLINE
02.01.2022 0:00;17.01.2022 0:00;AD;630;OVB;UUS;ВВЛ;;OFFLINE
24.11.2021 0:00;06.01.2022 0:00;AD;550;MOW;BQS;ВВЛ;;OFFLINE
27.11.2021 0:00;08.01.2022 0:00;AD;840;AER;MOW;ВВЛ;FFP;ONLINE
05.12.2021 0:00;01.01.2022 0:00;AD;150;LED;MOW;ВВЛ;;OFFLINE
30.11.2021 0:00;12.01.2022 0:00;AD;110;LED;MOW;ВВЛ;FFP;ONLINE
30.11.2021 0:00;01.01.2022 0:00;AD;140;MOW;SVX;ВВЛ;FFP;ONLINE
28.12.2021 0:00;09.01.2022 0:00;CHD;370;NUX;OVB;ВВЛ;;OFFLINE
30.11.2021 0:00;07.01.2022 0:00;AD;370;AAQ;MOW;ВВЛ;;ONLINE
07.12.2021 0:00;04.01.2022 0:00;AD;100;MOW;LED;ВВЛ;;ONLINE
30.11.2021 0:00;11.01.2022 0:00;AD;260;UFA;MOW;ВВЛ;FFP;ONLINE
01.12.2021 0:00;05.01.2022 0:00;AD;640;OVB;PKC;ВВЛ;;ONLINE
05.12.2021 0:00;08.01.2022 0:00;AD;340;OVB;SGC;ВВЛ;FFP;ONLINE
04.12.2021 0:00;09.01.2022 0:00;AD;720;VAR;MOW;МВЛ;FFP;ONLINE
05.12.2021 0:00;01.01.2022 0:00;AD;200;MOW;LED;ВВЛ;FFP;ONLINE
05.12.2021 0:00;04.01.2022 0:00;AD;230;KUF;MOW;ВВЛ;FFP;ONLINE
11.12.2021 0:00;06.01.2022 0:00;AD;360;OVB;IJK;ВВЛ;FFP;ONLINE
11.12.2021 0:00;11.01.2022 0:00;AD;150;MOW;OGZ;ВВЛ;;ONLINE
12.12.2021 0:00;07.01.2022 0:00;AD;460;MJZ;OVB;ВВЛ;;OFFLINE
29.12.2021 0:00;10.01.2022 0:00;AD;560;OVB;UUS;ВВЛ;;OFFLINE
05.12.2021 0:00;03.01.2022 0:00;AD;400;MOW;AAQ;ВВЛ;FFP;ONLINE
10.12.2021 0:00;01.01.2022 0:00;AD;250;MOW;MMK;ВВЛ;;ONLINE
05.12.2021 0:00;08.01.2022 0:00;INF;0;MOW;UFA;ВВЛ;;ONLINE
14.12.2021 0:00;10.01.2022 0:00;AD;120;MOW;KGD;ВВЛ;FFP;ONLINE
01.12.2021 0:00;30.01.2022 0:00;AD;540;OVB;PKC;ВВЛ;;ONLINE
01.12.2021 0:00;04.01.2022 0:00;AD;220;OVB;KJA;ВВЛ;;OFFLINE
01.12.2021 0:00;15.01.2022 0:00;AD;200;SVX;MOW;ВВЛ;;OFFLINE
05.12.2021 0:00;15.01.2022 0:00;AD;310;AER;OVB;ВВЛ;FFP;ONLINE
14.01.2022 0:00;21.01.2022 0:00;AD;260;MOW;KUF;ВВЛ;FFP;OFFLINE
10.12.2021 0:00;01.01.2022 0:00;AD;370;MOW;KJA;ВВЛ;FFP;ONLINE
28.11.2021 0:00;09.01.2022 0:00;CHD;390;GDZ;MOW;ВВЛ;;OFFLINE
10.12.2021 0:00;13.01.2022 0:00;AD;300;MOW;KJA;ВВЛ;;OFFLINE
28.11.2021 0:00;06.01.2022 0:00;AD;330;MOW;OVB;ВВЛ;FFP;ONLINE
28.11.2021 0:00;07.01.2022 0:00;AD;360;AAQ;MOW;ВВЛ;;ONLINE
01.12.2021 0:00;02.01.2022 0:00;AD;250;SIP;MOW;ВВЛ;;OFFLINE
12.12.2021 0:00;11.01.2022 0:00;AD;260;ROV;MOW;ВВЛ;FFP;ONLINE
06.12.2021 0:00;15.01.2022 0:00;AD;1030;BKK;KHV;МВЛ;FFP;OFFLINE
15.12.2021 0:00;12.01.2022 0:00;AD;370;MMK;MOW;ВВЛ;;OFFLINE
12.12.2021 0:00;06.01.2022 0:00;CHD;180;MOW;AER;ВВЛ;;ONLINE
29.11.2021 0:00;08.01.2022 0:00;AD;220;MOW;LED;ВВЛ;FFP;ONLINE
11.12.2021 0:00;11.01.2022 0:00;AD;220;SIP;MOW;ВВЛ;;OFFLINE
24.11.2021 0:00;03.01.2022 0:00;INF;40;KIV;MOW;МВЛ;;OFFLINE
28.11.2021 0:00;16.01.2022 0:00;AD;320;AER;MOW;ВВЛ;FFP;ONLINE
10.12.2021 0:00;09.01.2022 0:00;AD;330;KZN;MOW;ВВЛ;FFP;ONLINE
26.01.2022 0:00;29.01.2022 0:00;AD;310;MOW;OGZ;ВВЛ;;OFFLINE
26.11.2021 0:00;16.01.2022 0:00;AD;370;PAR;MOW;МВЛ;FFP;ONLINE
04.12.2021 0:00;03.01.2022 0:00;CHD;430;MOW;KIV;МВЛ;;ONLINE
11.12.2021 0:00;04.01.2022 0:00;AD;360;BTK;MOW;ВВЛ;FFP;ONLINE
12.12.2021 0:00;24.01.2022 0:00;AD;190;OVB;ABA;ВВЛ;FFP;ONLINE
06.12.2021 0:00;14.01.2022 0:00;AD;490;MOW;BQS;ВВЛ;FFP;ONLINE
09.12.2021 0:00;05.01.2022 0:00;AD;530;MOW;NOZ;ВВЛ;;OFFLINE
06.12.2021 0:00;02.01.2022 0:00;CHD;370;KUF;OVB;ВВЛ;;ONLINE
